Vote Republican (Two iterations find 3 examples; picked from within 100 token responses),Vote Democrat (3 iterations building 3 examples),Don't Vote
"President Trump has appointed Christian judges, cabinet members, and advisors, and he has signed executive orders to protect Christians.","I support the Democratic party because I'm a Christian. The Bible tells us that we should care for the poor and the sick, to welcome the foreigner, and to come to the defense of those in danger.",Voting is a waste of energy.\n\nIt's time for Christians to get serious about winning people to Christ. What we need is a great army of believers who are ready to share their faith with the world. What we need is for Christians to be witnesses to the truth. What we need is for the church to get serious.
Democrats are anti-God and anti-Christian. The Democratic Party platform is a direct attack on Christianity.,"I believe that life is the most precious thing we have and so it should be protected. The Republican party thinks that women can't make decisions about their own bodies. The Republican party thinks that people should have the right to end the lives of others if they have a disability. The Republican party thinks that life begins at conception, which is patently false. The Republican party thinks that caring for the earth is sinful. The Republican party is anti-science. The Republican party is anti-intellectual. The Republican party is anti-Christ.","It's a waste of money. The Bible says, ""They that will be rich fall into temptation and a snare, and into many foolish and hurtful lusts, which drown men in destruction and perdition. For the love of money is the root of all evil: which while some coveted after, they have erred from the faith, and pierced themselves through with many sorrows."" 1 Timothy 6:9-10."
Vote Republican because you believe the Bible. The Bible says that we are to be good stewards of the resources God has given us. That's why Republicans believe in free enterprise and private property.,"I'm a Christian first and a Democrat second. In the same vein, other Christians came out to say that they support the party because of their values. Good for them. And yet, if you look at the numbers, it seems like they're on the wrong side of the aisle. A report by the Pew Research Center found that, in 2016, 21% of white evangelicals supported Clinton and Trump received 81% of the white evangelical vote. So what gives? Why do so many Christians support a political party whose values are at odds with their own?","Voting for either the Democrat or Republican parties is a waste of time. The Democrat and Republican parties are both full of unbelievers. The only difference is that one group accepts abortion, and the other group doesn't. Other than that, they are both just as bad. So when you vote for either of these parties, you're wasting your time."
Vote Republican because you want your children to learn the Ten Commandments and the Beatitudes in school.,"Wherever you find the hungry, the naked, the homeless, the imprisoned, you find Jesus.","God doesn't want you to vote. The Bible says, ""My people are destroyed for lack of knowledge."" Hosea 4:6 (KJV). Another translation reads, ""My people are destroyed for lack of knowledge."" Hosea 4:6 (NIV). How much more knowledge do you need than the knowledge that your vote really doesn't count?"
Democrats are the party of hate and bigotry. The Democratic Party has been the most hateful and bigoted political party in American history.,The Democratic party represents the best of Christianity.,"It's inconsistent. If you are a Christian and you vote, you are saying that the government has the authority to tell you what to do and that your country is more important than Christ. But the Bible says, ""Render therefore unto Caesar the things which are Caesar's; and unto God the things that are God's."" Jesus answered, ""My kingdom is not of this world: if my kingdom were of this world, then would my servants fight, that I should not be delivered."""
"Democrats are the Party of Hate. They promote racism, sexism, class warfare, and the homosexual agenda.",Jesus said to love your neighbor as yourself. Jesus was a Democrat. He wouldn't be welcome in today\u2019s Republican party.,"Voting is useless. One way to tell if the American voting system is valid is to consider what would happen if everybody in the country decided to vote a straight party ticket. If all the Republicans voted for the Republican candidate, and all the Democrats voted for the Democrat candidate and the Libertarians voted for the Libertarian candidate, what would happen? Would the results be different? Of course not. So, voting is useless."
Vote Republican because you love Jesus Christ and you want to make America a Christian nation again. The Democratic Party is anti-Christian.,I am a Christian. I am not an anti-government Christian. I believe that government is a positive and important part of society.,It's a waste of money. To spend thousands of dollars on a campaign is a complete waste of money. A Christian ought to be using their money to take the gospel to the ends of the earth.
"If you love the Bill of Rights, you should vote Republican. Democrats have always been the enemies of the First Amendment, which guarantees the freedom of religion, the press, and the right to peaceably assemble.","The Democrats are the party of compassion, of equality, of compassion.",Voting doesn't save the soul of anyone. For a Christian to think that by voting they can change the course of history is absurd. The only way anyone is saved is by the blood of Christ.
"Conservative Christians, you are loved by God and you are important to the future of this country. The decisions you make in the voting booth will affect all of us in the coming years.",I support the Democratic Party because I'm a Christian. I believe that the Bible is pro-poor and pro-immigrant. I believe that the Bible demands that we welcome and care for refugees. I believe that the Bible is pro-worker. I believe that the Bible is pro-justice.,"Voting is a form of slavery. Slavery is forbidden in the Bible. ""Let as many servants as are under the yoke count their own masters worthy of all honour, that the name of God and his doctrine be not blasphemed. And they that have believing masters, let them not despise them, because they are brethren; but rather do them service, because they are faithful and beloved, partakers of the benefit."""
Vote Republican because you don't want your children to learn about homosexuality in the public schools.,I support the Democratic party because I'm a Christian. I believe that the Bible is clear about the value of caring for the poor and protecting the sick.,"It is a sin to vote for the lesser of two evils. Jesus said, ""If ye love me, keep my commandments."" John 14:15."
